,,,,,,,,,,,,,,,,,,,,
Product,Price (JPY),Type,Price (USD),Price (HKD),Price (EUR),Price (SGD),Price (GBP),Price (CAD),Price (AUD),Stock Status,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"¥46,000",9/16 Ship Box,$288.18,"HK$2,214.73",€244.84,S$369.00,£210.87,C$394.27,A$414.41,Pre-order,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"¥42,000",9/18 Ship Box,$263.12,"HK$2,022.15",€223.55,S$336.92,£192.54,C$359.99,A$378.38,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,$0.00,HK$0.00,€0.00,S$0.00,£0.00,C$0.00,A$0.00,,,,,,,,,,,
30th,,,,,,,,,,,,,,,,,,,,
,"¥30,000",7/31 Ship Box,$187.95,"HK$1,444.39",€159.68,S$240.65,£137.53,C$257.14,A$270.27,Pre-order,,0.006264879088,,0.006264879088,0.04814636495,0.005322546306,0.008021819349,0.004584211974,0.00857118368,0.009009009009
,,,,,,,,,,,,0.04814636495,,,,,,,,
,"¥28,000",8/3  Ship Box,$175.42,"HK$1,348.10",€149.03,S$224.61,£128.36,C$239.99,A$252.25,,,0.005322546306,,,,,,,,
,,,,,,,,,,,,0.008021819349,,,,,,,,
,,,$0.00,HK$0.00,€0.00,S$0.00,£0.00,C$0.00,A$0.00,,,0.004584211974,,,,,,,,
Storm Emerard (M6) ,,,,,,,,,,,,0.00857118368,,,,,,,,
,"¥11,600",Box,$72.67,HK$558.50,€61.74,S$93.05,£53.18,C$99.43,A$104.50,Large Stock,,0.009009009009,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"¥10,600",No shrink Box,$66.41,HK$510.35,€56.42,S$85.03,£48.59,C$90.85,A$95.50,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"¥10,000",No Tab,$62.65,HK$481.46,€53.23,S$80.22,£45.84,C$85.71,A$90.09,,,,,,,,,,,
Abyss Eye (M5) ,,,,,,,,,,,,,,,,,,,,
,"¥12,000",Box,$75.18,HK$577.76,€63.87,S$96.26,£55.01,C$102.85,A$108.11,Large Stock,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"¥10,800",No shrink Box,$67.66,HK$519.98,€57.48,S$86.64,£49.51,C$92.57,A$97.30,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"¥10,000",No Tab,$62.65,HK$481.46,€53.23,S$80.22,£45.84,C$85.71,A$90.09,,,,,,,,,,,
Ninja Spinner (M4) ,,,,,,,,,,,,,,,,,,,,
,"¥9,500",Box,$59.52,HK$457.39,€50.56,S$76.21,£43.55,C$81.43,A$85.59,Large Stock,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"¥8,500",No shrink Box,$53.25,HK$409.24,€45.24,S$68.19,£38.97,C$72.86,A$76.58,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,$0.00,HK$0.00,€0.00,S$0.00,£0.00,C$0.00,A$0.00,,,,,,,,,,,
Nihil Zero(M3),,,,,,,,,,,,,,,,,,,,
,"¥16,200",Box,$101.49,HK$779.97,€86.23,S$129.95,£74.26,C$138.85,A$145.95,Large Stock,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"¥15,000",No shrink Box,$93.97,HK$722.20,€79.84,S$120.33,£68.76,C$128.57,A$135.14,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"¥13,500",No Tab,$84.58,HK$649.98,€71.85,S$108.29,£61.89,C$115.71,A$121.62,,,,,,,,,,,
Mega Dream ex(M2a),,,,,,,,,,,,,,,,,,,,
,"¥2,600",Box,$16.29,HK$125.18,€13.84,S$20.86,£11.92,C$22.29,A$23.42,Large Stock,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"¥80,000",White Box,$501.19,"HK$3,851.71",€425.80,S$641.75,£366.74,C$685.69,A$720.72,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,$0.00,HK$0.00,€0.00,S$0.00,£0.00,C$0.00,A$0.00,,,,,,,,,,,
Start Deck 100 Battle Collection,,,,,,,,,,,,,,,,,,,,
,"¥26,000",Box,$162.89,"HK$1,251.81",€138.39,S$208.57,£119.19,C$222.85,A$234.23,Large Stock,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"¥24,000",No shrink Box,$150.36,"HK$1,155.51",€127.74,S$192.52,£110.02,C$205.71,A$216.22,,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,$0.00,HK$0.00,€0.00,S$0.00,£0.00,C$0.00,A$0.00,,,,,,,,,,,
Inferno X　(M2),,,,,,,,,,,,,,,,,,,,
,,,$0.00,HK$0.00,€0.00,S$0.00,£0.00,C$0.00,A$0.00,Large Stock,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,$0.00,HK$0.00,€0.00,S$0.00,£0.00,C$0.00,A$0.00,,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,$0.00,HK$0.00,€0.00,S$0.00,£0.00,C$0.00,A$0.00,,,,,,,,,,,
Gengar Starter Set,,,,,,,,,,,,,,,,,,,,
,"¥12,800",Box,$80.19,HK$616.27,€68.13,S$102.68,£58.68,C$109.71,A$115.32,Large Stock,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"¥11,500",No shrink Box,$72.05,HK$553.68,€61.21,S$92.25,£52.72,C$98.57,A$103.60,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,$0.00,HK$0.00,€0.00,S$0.00,£0.00,C$0.00,A$0.00,,,,,,,,,,,
Mega Brave(M1L)        ,,,,,,,,,,,,,,,,,,,,
,"¥11,500",Box,$72.05,HK$553.68,€61.21,S$92.25,£52.72,C$98.57,A$103.60,Large Stock,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"¥10,000",No shrink Box,$62.65,HK$481.46,€53.23,S$80.22,£45.84,C$85.71,A$90.09,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,$0.00,HK$0.00,€0.00,S$0.00,£0.00,C$0.00,A$0.00,,,,,,,,,,,
Mega Symphonia(M1S),,,,,,,,,,,,,,,,,,,,
,"¥31,000",Box,$194.21,"HK$1,492.54",€165.00,S$248.68,£142.11,C$265.71,A$279.28,Large Stock,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,$0.00,HK$0.00,€0.00,S$0.00,£0.00,C$0.00,A$0.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,$0.00,HK$0.00,€0.00,S$0.00,£0.00,C$0.00,A$0.00,,,,,,,,,,,
Pokemon Center Mega Blave,,,,,,,,,,,,,,,,,,,,
,"¥25,000",Box,$156.62,"HK$1,203.66",€133.06,S$200.55,£114.61,C$214.28,A$225.23,Large Stock,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
